"day","mean_observed","abc_mean_predicted","rnn_mean_predicted","abc_mean_bias","rnn_mean_bias","abc_mean_abs_bias","rnn_mean_abs_bias","n_sims","obs_mean","obs_lower_ci","obs_upper_ci","abc_pred_mean","abc_pred_lower_ci","abc_pred_upper_ci","rnn_pred_mean","rnn_pred_lower_ci","rnn_pred_upper_ci","abc_coverage","rnn_coverage"
0,1271.16666666667,1290.5,1271.16666666667,19.3333333333333,0,35.6666666666667,0,6,1271.16666666667,NA,NA,1290.5,NA,NA,1271.16666666667,NA,NA,NA,NA
1,1387.33333333333,1415.5,1439.33333333333,28.1666666666667,52,36.5,71.6666666666667,6,1387.33333333333,NA,NA,1415.5,NA,NA,1439.33333333333,NA,NA,NA,NA
2,1510.66666666667,1550.83333333333,1598,40.1666666666667,87.3333333333333,43.5,168,6,1510.66666666667,NA,NA,1550.83333333333,NA,NA,1598,NA,NA,NA,NA
3,1607.33333333333,1661.5,1730.66666666667,54.1666666666667,123.333333333333,58.1666666666667,278.333333333333,6,1607.33333333333,NA,NA,1661.5,NA,NA,1730.66666666667,NA,NA,NA,NA
4,1711.66666666667,1761.16666666667,1873.33333333333,49.5,161.666666666667,65.1666666666667,379.666666666667,6,1711.66666666667,NA,NA,1761.16666666667,NA,NA,1873.33333333333,NA,NA,NA,NA
5,1803.5,1846.16666666667,1979.33333333333,42.6666666666667,175.833333333333,52.6666666666667,464.833333333333,6,1803.5,NA,NA,1846.16666666667,NA,NA,1979.33333333333,NA,NA,NA,NA
6,1883.66666666667,1935.5,2088.66666666667,51.8333333333333,205,67.1666666666667,535,6,1883.66666666667,NA,NA,1935.5,NA,NA,2088.66666666667,NA,NA,NA,NA
7,1944.66666666667,2002.5,2161,57.8333333333333,216.333333333333,71.5,615.666666666667,6,1944.66666666667,NA,NA,2002.5,NA,NA,2161,NA,NA,NA,NA
8,1998.33333333333,2009.16666666667,2206,10.8333333333333,207.666666666667,48.8333333333333,689.666666666667,6,1998.33333333333,NA,NA,2009.16666666667,NA,NA,2206,NA,NA,NA,NA
9,2005.33333333333,2019.5,2220.33333333333,14.1666666666667,215,80.5,733,6,2005.33333333333,NA,NA,2019.5,NA,NA,2220.33333333333,NA,NA,NA,NA
10,2022.33333333333,2030,2212,7.66666666666667,189.666666666667,93,772.333333333333,6,2022.33333333333,NA,NA,2030,NA,NA,2212,NA,NA,NA,NA
11,2006.83333333333,2000.83333333333,2206.83333333333,-6,200,103.333333333333,791,6,2006.83333333333,NA,NA,2000.83333333333,NA,NA,2206.83333333333,NA,NA,NA,NA
12,1986,1962.66666666667,2182.33333333333,-23.3333333333333,196.333333333333,91.6666666666667,825.666666666667,6,1986,NA,NA,1962.66666666667,NA,NA,2182.33333333333,NA,NA,NA,NA
13,1934.5,1907.5,2150.83333333333,-27,216.333333333333,91.3333333333333,811.666666666667,6,1934.5,NA,NA,1907.5,NA,NA,2150.83333333333,NA,NA,NA,NA
14,1865.5,1851.66666666667,2086.5,-13.8333333333333,221,80.5,777.333333333333,6,1865.5,NA,NA,1851.66666666667,NA,NA,2086.5,NA,NA,NA,NA
15,1794.16666666667,1775.66666666667,2017.33333333333,-18.5,223.166666666667,95.1666666666667,745.833333333333,6,1794.16666666667,NA,NA,1775.66666666667,NA,NA,2017.33333333333,NA,NA,NA,NA
16,1723.16666666667,1706.66666666667,1953.16666666667,-16.5,230,88.8333333333333,711.666666666667,6,1723.16666666667,NA,NA,1706.66666666667,NA,NA,1953.16666666667,NA,NA,NA,NA
17,1637.33333333333,1631.66666666667,1886.33333333333,-5.66666666666667,249,80.3333333333333,655.333333333333,6,1637.33333333333,NA,NA,1631.66666666667,NA,NA,1886.33333333333,NA,NA,NA,NA
18,1551.33333333333,1559.83333333333,1808.83333333333,8.5,257.5,82.1666666666667,614.833333333333,6,1551.33333333333,NA,NA,1559.83333333333,NA,NA,1808.83333333333,NA,NA,NA,NA
19,1464.33333333333,1472,1728.5,7.66666666666667,264.166666666667,67.6666666666667,575.166666666667,6,1464.33333333333,NA,NA,1472,NA,NA,1728.5,NA,NA,NA,NA
20,1395.16666666667,1385.33333333333,1648.16666666667,-9.83333333333333,253,56.8333333333333,529,6,1395.16666666667,NA,NA,1385.33333333333,NA,NA,1648.16666666667,NA,NA,NA,NA
21,1313.16666666667,1304.33333333333,1565.83333333333,-8.83333333333333,252.666666666667,49.8333333333333,456,6,1313.16666666667,NA,NA,1304.33333333333,NA,NA,1565.83333333333,NA,NA,NA,NA
22,1230.16666666667,1220.5,1486.16666666667,-9.66666666666667,256,43.6666666666667,418.333333333333,6,1230.16666666667,NA,NA,1220.5,NA,NA,1486.16666666667,NA,NA,NA,NA
23,1141.83333333333,1135.33333333333,1403.16666666667,-6.5,261.333333333333,41.1666666666667,375.666666666667,6,1141.83333333333,NA,NA,1135.33333333333,NA,NA,1403.16666666667,NA,NA,NA,NA
24,1071.83333333333,1070,1320.66666666667,-1.83333333333333,248.833333333333,32.5,331.833333333333,6,1071.83333333333,NA,NA,1070,NA,NA,1320.66666666667,NA,NA,NA,NA
25,1001.83333333333,1001.16666666667,1236,-0.666666666666667,234.166666666667,35.6666666666667,296.833333333333,6,1001.83333333333,NA,NA,1001.16666666667,NA,NA,1236,NA,NA,NA,NA
26,934,919.333333333333,1168.5,-14.6666666666667,234.5,28.6666666666667,268.5,6,934,NA,NA,919.333333333333,NA,NA,1168.5,NA,NA,NA,NA
27,865.166666666667,854.5,1090.33333333333,-10.6666666666667,225.166666666667,18.6666666666667,236.166666666667,6,865.166666666667,NA,NA,854.5,NA,NA,1090.33333333333,NA,NA,NA,NA
28,808,803.333333333333,1018.5,-4.66666666666667,210.5,30,218.5,6,808,NA,NA,803.333333333333,NA,NA,1018.5,NA,NA,NA,NA
29,753.166666666667,746.833333333333,955.666666666667,-6.33333333333333,202.5,43,221.5,6,753.166666666667,NA,NA,746.833333333333,NA,NA,955.666666666667,NA,NA,NA,NA
30,709,700.333333333333,891.666666666667,-8.66666666666667,182.666666666667,47.6666666666667,210,6,709,NA,NA,700.333333333333,NA,NA,891.666666666667,NA,NA,NA,NA
31,661.166666666667,655.5,838.166666666667,-5.66666666666667,177,50.6666666666667,202.333333333333,6,661.166666666667,NA,NA,655.5,NA,NA,838.166666666667,NA,NA,NA,NA
32,611.166666666667,608.333333333333,782,-2.83333333333333,170.833333333333,51.8333333333333,197.166666666667,6,611.166666666667,NA,NA,608.333333333333,NA,NA,782,NA,NA,NA,NA
33,566,563,726.333333333333,-3,160.333333333333,51.6666666666667,191,6,566,NA,NA,563,NA,NA,726.333333333333,NA,NA,NA,NA
34,527.833333333333,525.166666666667,677.5,-2.66666666666667,149.666666666667,48,198,6,527.833333333333,NA,NA,525.166666666667,NA,NA,677.5,NA,NA,NA,NA
35,490.166666666667,487.666666666667,633.5,-2.5,143.333333333333,48.8333333333333,185.333333333333,6,490.166666666667,NA,NA,487.666666666667,NA,NA,633.5,NA,NA,NA,NA
36,452,452.5,589,0.5,137,39.1666666666667,174.666666666667,6,452,NA,NA,452.5,NA,NA,589,NA,NA,NA,NA
37,423.333333333333,420.333333333333,546,-3,122.666666666667,38,160.666666666667,6,423.333333333333,NA,NA,420.333333333333,NA,NA,546,NA,NA,NA,NA
38,395.166666666667,386,513.5,-9.16666666666667,118.333333333333,26.8333333333333,153,6,395.166666666667,NA,NA,386,NA,NA,513.5,NA,NA,NA,NA
39,372,364.333333333333,476.333333333333,-7.66666666666667,104.333333333333,23.3333333333333,149,6,372,NA,NA,364.333333333333,NA,NA,476.333333333333,NA,NA,NA,NA
40,345.5,337.333333333333,446,-8.16666666666667,100.5,20.8333333333333,136.833333333333,6,345.5,NA,NA,337.333333333333,NA,NA,446,NA,NA,NA,NA
41,316.5,312.333333333333,419.166666666667,-4.16666666666667,102.666666666667,23.8333333333333,138,6,316.5,NA,NA,312.333333333333,NA,NA,419.166666666667,NA,NA,NA,NA
42,297.833333333333,285.833333333333,394.5,-12,96.6666666666667,22.6666666666667,129.666666666667,6,297.833333333333,NA,NA,285.833333333333,NA,NA,394.5,NA,NA,NA,NA
43,274,269.5,371,-4.5,97,21.8333333333333,127.666666666667,6,274,NA,NA,269.5,NA,NA,371,NA,NA,NA,NA
44,251.333333333333,249.166666666667,345.333333333333,-2.16666666666667,94,21.5,116.666666666667,6,251.333333333333,NA,NA,249.166666666667,NA,NA,345.333333333333,NA,NA,NA,NA
45,232,231.5,323.833333333333,-0.5,91.8333333333333,20.8333333333333,112.166666666667,6,232,NA,NA,231.5,NA,NA,323.833333333333,NA,NA,NA,NA
46,216.166666666667,215.333333333333,296.166666666667,-0.833333333333333,80,21.5,98.6666666666667,6,216.166666666667,NA,NA,215.333333333333,NA,NA,296.166666666667,NA,NA,NA,NA
