param_type,sim_id,coverage_95,coverage_90
abc,1,1,1
lstm,1,0.8166666666666667,0.8
abc,2,0.95,0.95
lstm,2,0.85,0.85
abc,3,1,1
lstm,3,1,1
abc,4,0.9166666666666666,0.9166666666666666
lstm,4,0.9,0.9
abc,5,0.9333333333333333,0.9333333333333333
lstm,5,0.95,0.95
abc,6,0.9833333333333333,0.9833333333333333
lstm,6,0.9666666666666667,0.9666666666666667
abc,7,0.9,0.9
lstm,7,0.8833333333333333,0.8833333333333333
abc,8,0.95,0.95
lstm,8,0.9833333333333333,0.9833333333333333
abc,9,0.9333333333333333,0.9333333333333333
lstm,9,0.5166666666666667,0.43333333333333335
abc,10,0.9666666666666667,0.9666666666666667
lstm,10,0.9833333333333333,0.9833333333333333
abc,11,1,1
lstm,11,0.9333333333333333,0.9333333333333333
abc,12,0.95,0.95
lstm,12,0.5666666666666667,0.5666666666666667
abc,13,0.9,0.9
lstm,13,0.9666666666666667,0.95
abc,14,0.8833333333333333,0.8833333333333333
lstm,14,0.6333333333333333,0.6166666666666667
abc,15,0.9833333333333333,0.9833333333333333
lstm,15,0.6833333333333333,0.65
abc,16,0.8333333333333334,0.8333333333333334
lstm,16,0.8,0.7333333333333333
abc,17,0.7666666666666667,0.75
lstm,17,0.55,0.5333333333333333
abc,18,1,1
lstm,18,1,1
abc,19,0.9166666666666666,0.9166666666666666
lstm,19,0.6166666666666667,0.5833333333333334
abc,20,0.38333333333333336,0.38333333333333336
lstm,20,0.9333333333333333,0.9333333333333333
abc,21,0.9333333333333333,0.9333333333333333
lstm,21,0.95,0.95
abc,22,0.9666666666666667,0.9666666666666667
lstm,22,0.9666666666666667,0.9666666666666667
abc,23,0.7333333333333333,0.7333333333333333
lstm,23,0.9666666666666667,0.9666666666666667
abc,24,0.1,0.1
lstm,24,0.2,0.2
abc,25,0.9333333333333333,0.9333333333333333
lstm,25,0.6,0.5666666666666667
abc,26,0.8333333333333334,0.7833333333333333
lstm,26,0.7166666666666667,0.6333333333333333
abc,27,0.75,0.75
lstm,27,0.9833333333333333,0.9833333333333333
abc,28,1,1
lstm,28,0.9833333333333333,0.9833333333333333
abc,29,1,1
lstm,29,1,1
abc,30,0.95,0.95
lstm,30,0.9666666666666667,0.9666666666666667
abc,31,1,1
lstm,31,1,1
abc,32,0.8,0.7833333333333333
lstm,32,0.9666666666666667,0.9666666666666667
abc,33,0.7333333333333333,0.7333333333333333
lstm,33,0.38333333333333336,0.38333333333333336
abc,34,0.9666666666666667,0.9666666666666667
lstm,34,0.9666666666666667,0.9666666666666667
abc,35,0.9333333333333333,0.9333333333333333
lstm,35,0.95,0.95
abc,36,0.95,0.95
lstm,36,0.5833333333333334,0.45
abc,37,0.9333333333333333,0.9333333333333333
lstm,37,0.9666666666666667,0.9666666666666667
abc,38,0.95,0.95
lstm,38,0.5666666666666667,0.5666666666666667
