param_type,time,n_param_sets,mean_coverage_95,median_coverage_95,sd_coverage_95,coverage_95_q25,coverage_95_q75,mean_coverage_90,median_coverage_90
abc,1,932,0.9570815450643777,1,0.20278210462872007,1,1,0.9549356223175965,1
abc,2,932,0.9560085836909872,1,0.20518612213497506,1,1,0.9549356223175965,1
abc,3,932,0.9517167381974249,1,0.2144792439835802,1,1,0.9517167381974249,1
abc,4,932,0.9624463519313304,1,0.19021617618286032,1,1,0.9613733905579399,1
abc,5,932,0.9495708154506438,1,0.2189463792783966,1,1,0.9495708154506438,1
abc,6,932,0.9527896995708155,1,0.21220226954973379,1,1,0.9506437768240343,1
abc,7,932,0.9495708154506438,1,0.2189463792783966,1,1,0.9463519313304721,1
abc,8,932,0.9495708154506438,1,0.2189463792783966,1,1,0.9495708154506438,1
abc,9,932,0.944206008583691,1,0.2296467011601984,1,1,0.9420600858369099,1
abc,10,932,0.9431330472103004,1,0.231712560144289,1,1,0.9399141630901288,1
abc,11,932,0.9420600858369099,1,0.23375523253635128,1,1,0.9420600858369099,1
abc,12,932,0.9366952789699571,1,0.2436409762443351,1,1,0.9334763948497854,1
abc,13,932,0.924892703862661,1,0.26370590589083104,1,1,0.9195278969957081,1
abc,14,932,0.9313304721030042,1,0.25302710870290634,1,1,0.9302575107296137,1
abc,15,932,0.927038626609442,1,0.2602127251091797,1,1,0.9216738197424893,1
abc,16,932,0.9152360515021459,1,0.2786796552224004,1,1,0.9120171673819742,1
abc,17,932,0.927038626609442,1,0.2602127251091797,1,1,0.9206008583690987,1
abc,18,932,0.9313304721030042,1,0.25302710870290634,1,1,0.924892703862661,1
abc,19,932,0.9141630901287554,1,0.2802734724249037,1,1,0.9087982832618026,1
abc,20,932,0.9302575107296137,1,0.25484929140402807,1,1,0.9259656652360515,1
abc,21,932,0.9227467811158798,1,0.26713615897747106,1,1,0.9141630901287554,1
abc,22,932,0.9152360515021459,1,0.2786796552224004,1,1,0.9055793991416309,1
abc,23,932,0.9152360515021459,1,0.2786796552224004,1,1,0.9098712446351931,1
abc,24,932,0.9130901287553648,1,0.2818541883492139,1,1,0.9045064377682404,1
abc,25,932,0.9184549356223176,1,0.27381729878155237,1,1,0.9098712446351931,1
abc,26,932,0.9098712446351931,1,0.2865198878481189,1,1,0.9034334763948498,1
abc,27,932,0.9130901287553648,1,0.2818541883492139,1,1,0.9055793991416309,1
abc,28,932,0.8969957081545065,1,0.3041276867048497,1,1,0.8927038626609443,1
abc,29,932,0.9184549356223176,1,0.27381729878155237,1,1,0.9109442060085837,1
abc,30,932,0.8927038626609443,1,0.30965554867468603,1,1,0.8884120171673819,1
abc,31,932,0.9045064377682404,1,0.29405325690461587,1,1,0.8959227467811158,1
abc,32,932,0.8959227467811158,1,0.305524687250674,1,1,0.8905579399141631,1
abc,33,932,0.8905579399141631,1,0.3123606625924133,1,1,0.8884120171673819,1
abc,34,932,0.8851931330472103,1,0.3189598852784022,1,1,0.880901287553648,1
abc,35,932,0.8894849785407726,1,0.3136989614936782,1,1,0.880901287553648,1
abc,36,932,0.8884120171673819,1,0.31502791683261433,1,1,0.8841201716738197,1
abc,37,932,0.878755364806867,1,0.32658661089827196,1,1,0.8744635193133047,1
abc,38,932,0.8701716738197425,1,0.3362949266536834,1,1,0.8658798283261803,1
abc,39,932,0.8733905579399142,1,0.3327134896649953,1,1,0.8680257510729614,1
abc,40,932,0.878755364806867,1,0.32658661089827196,1,1,0.8723175965665236,1
